document,requirement,change,old_text,new_text,old_text_sha256,new_text_sha256
GSP-Charter,CH-030,unchanged,"An amendment to governance shall follow the change and review procedure in Directives Part 1, state its effective date and transition arrangements, and preserve the prior edition. A procedure shall not be changed retrospectively solely to validate a disputed decision.","An amendment to governance shall follow the change and review procedure in Directives Part 1, state its effective date and transition arrangements, and preserve the prior edition. A procedure shall not be changed retrospectively solely to validate a disputed decision.",ea7cbac5d4d94729e06f0a8b22540297ece35660a069b0bbe8e9c8d7136e371a,ea7cbac5d4d94729e06f0a8b22540297ece35660a069b0bbe8e9c8d7136e371a
GSP-Charter,CH-031,unchanged,"The programme shall maintain an inspectable record of material funding, in-kind support, decision-related conditions, and control of essential infrastructure. Restricted details shall have a stated reason for restriction and an accountable reviewer.","The programme shall maintain an inspectable record of material funding, in-kind support, decision-related conditions, and control of essential infrastructure. Restricted details shall have a stated reason for restriction and an accountable reviewer.",d10c8a402d235a221515e3a192e0ef849d55d78192b4f90663b43305af335b7f,d10c8a402d235a221515e3a192e0ef849d55d78192b4f90663b43305af335b7f
GSP-Charter,CH-032,unchanged,"A funding or hosting arrangement shall not authorize a sponsor to suppress relevant criticism, require adoption of its preferred technical solution, or bypass review. Material changes in support shall trigger a capacity and continuity assessment.","A funding or hosting arrangement shall not authorize a sponsor to suppress relevant criticism, require adoption of its preferred technical solution, or bypass review. Material changes in support shall trigger a capacity and continuity assessment.",1aa3663e960534b436c33f12979dc115a62dee869451cd174a44a5e2e3dd1ca3,1aa3663e960534b436c33f12979dc115a62dee869451cd174a44a5e2e3dd1ca3
GSP-Charter,CH-033,unchanged,"The records custodian shall maintain access to publication status, version history, work scopes, decision reasons, comment dispositions, and correction notices. Protection or deletion of underlying sensitive records shall retain a non-sensitive account of the action and its authority where permitted.","The records custodian shall maintain access to publication status, version history, work scopes, decision reasons, comment dispositions, and correction notices. Protection or deletion of underlying sensitive records shall retain a non-sensitive account of the action and its authority where permitted.",b9033c7e91aec9c4a128314fdc488371e23377d54eb453749b3223d2c6faf92b,b9033c7e91aec9c4a128314fdc488371e23377d54eb453749b3223d2c6faf92b
GSP-Charter,CH-034,unchanged,"An external liaison, pilot, endorsement, submission, or agreement shall identify who is authorized to act, its purpose and limits, and any external institution's actual assent. Participation in the programme shall not be represented as institutional endorsement.","An external liaison, pilot, endorsement, submission, or agreement shall identify who is authorized to act, its purpose and limits, and any external institution's actual assent. Participation in the programme shall not be represented as institutional endorsement.",3b9e3edc6fd660de0b08d822c163a95b09ee11327f89a99e53e3c495bfd7a033,3b9e3edc6fd660de0b08d822c163a95b09ee11327f89a99e53e3c495bfd7a033
GSP-Charter,CH-035,unchanged,"The programme decision authority shall review mission performance, participation gaps, concentrated influence, conflicts, unresolved appeals, review capacity, and maintenance resources at least annually with the programme account required by Directives Part 1 and after a material institutional change. The review shall record remedial actions, owners, and follow-up.","The programme decision authority shall review mission performance, participation gaps, concentrated influence, conflicts, unresolved appeals, review capacity, and maintenance resources at least annually with the programme account required by Directives Part 1 and after a material institutional change. The review shall record remedial actions, owners, and follow-up.",4906e9704c798c51673bb82fb1ff351b26f9b1722ec3bfa66070a9b513e03766,4906e9704c798c51673bb82fb1ff351b26f9b1722ec3bfa66070a9b513e03766
GSP-Charter,CH-036,unchanged,"Before founding adoption, the prospective founding signatories shall identify their actual capacities and proposed commitments, publish the exact governance package within cleared rights, identify proposed appointments and decision-eligibility criteria, and announce a founding review that applies the public-review, comment-disposition, reply, and material-change periods in draft Directives Part 1 as explicit conditions of that founding process.","Before founding adoption, the prospective founding signatories shall identify their actual capacities and proposed commitments, publish the exact governance package within cleared rights, identify proposed appointments and decision-eligibility criteria, and announce a founding review that applies the public-review, comment-disposition, reply, and material-change periods in draft Directives Part 1 as explicit conditions of that founding process.",ffa3286a1682a4ba710ae90bf7dd899bae4d36bc7cebbd3ef63381defcf7575b,ffa3286a1682a4ba710ae90bf7dd899bae4d36bc7cebbd3ef63381defcf7575b
GSP-Charter,CH-037,unchanged,"The founding signatories shall execute an adoption instrument only after review dispositions, a governance rehearsal, accepted minimum appointments, and independent assessment of the founding process are recorded. The instrument shall identify each signatory's express agreement, scope of commitment, dissent, outstanding limits, and the exact texts adopted. A person or institution shall not be bound or represented by a signature that lacks actual authority.","The founding signatories shall execute an adoption instrument only after review dispositions, a governance rehearsal, accepted minimum appointments, and independent assessment of the founding process are recorded. The instrument shall identify each signatory's express agreement, scope of commitment, dissent, outstanding limits, and the exact texts adopted. A person or institution shall not be bound or represented by a signature that lacks actual authority.",e5f5fb2f18a8680622a15dfdb5e6acf1d24d522dbb2f207ce7953deafd8962a9,e5f5fb2f18a8680622a15dfdb5e6acf1d24d522dbb2f207ce7953deafd8962a9
GSP-Charter,CH-038,unchanged,"The founding instrument shall identify the first programme decision authority, its delegated limits, appointment and succession route, and review date. Founding adoption shall not itself approve GR/NWIP-001 or any technical Standard. Subsequent formal adoption and maintenance decisions shall use the applicable ballot and review rules of operative Directives Part 1, distinguishing substantive maintenance from editorial correction and confirmation.","The founding instrument shall identify the first programme decision authority, its delegated limits, appointment and succession route, and review date. Founding adoption shall not itself approve GR/NWIP-001 or any technical Standard. Subsequent formal adoption and maintenance decisions shall use the applicable ballot and review rules of operative Directives Part 1, distinguishing substantive maintenance from editorial correction and confirmation.",918d99d270ea15b168e449445615fcbfb12303018e81648b07a13bb741120e08,918d99d270ea15b168e449445615fcbfb12303018e81648b07a13bb741120e08
GSP-Charter,CH-039,unchanged,"Before constituting a decision roster, the programme decision authority shall publish the proposed decision scope, nominations route, closing date, competence or affected-perspective criteria, expected review commitment, and conflict rules. Eligible individuals shall have an accepted bounded role, disclosed relevant interests, agreed applicable conduct terms, and a recorded capacity for the particular decision. Institutional representation shall require an identified mandate.","Before constituting a decision roster, the programme decision authority shall publish the proposed decision scope, nominations route, closing date, competence or affected-perspective criteria, expected review commitment, and conflict rules. Eligible individuals shall have an accepted bounded role, disclosed relevant interests, agreed applicable conduct terms, and a recorded capacity for the particular decision. Institutional representation shall require an identified mandate.",997713dc0198101ba491a060909c9acffaa6b4af54859538af5f7bc5e2c2e977,997713dc0198101ba491a060909c9acffaa6b4af54859538af5f7bc5e2c2e977
GSP-Charter,CH-040,unchanged,Selection to or exclusion from a decision roster shall have recorded reasons against the announced criteria and an available procedural challenge. The authority shall assess concentrated interests and missing perspectives before fixing the roster. A roster shall not change during a ballot except through the correction and restart rules of Directives Part 1.,Selection to or exclusion from a decision roster shall have recorded reasons against the announced criteria and an available procedural challenge. The authority shall assess concentrated interests and missing perspectives before fixing the roster. A roster shall not change during a ballot except through the correction and restart rules of Directives Part 1.,a78900dc50bedb9613c47e5ca3c777aec8b62a77ce4c29248872205d054d2af3,a78900dc50bedb9613c47e5ca3c777aec8b62a77ce4c29248872205d054d2af3
GSP-Charter,CH-041,unchanged,"An appointment renewal or proposed removal shall receive a recorded grounds statement and an opportunity for the affected person and relevant participants to respond before a final decision. A non-conflicted authority shall decide the matter within its mandate and provide access to neutral procedural review. Urgent temporary protective measures shall follow the ethics policy and emergency procedure, with a stated review point.","An appointment renewal or proposed removal shall receive a recorded grounds statement and an opportunity for the affected person and relevant participants to respond before a final decision. A non-conflicted authority shall decide the matter within its mandate and provide access to neutral procedural review. Urgent temporary protective measures shall follow the ethics policy and emergency procedure, with a stated review point.",b66e5143bf109778a083e233e94991bf333a3d1bf0d7b2a10fcfad2ea92aa6ab,b66e5143bf109778a083e233e94991bf333a3d1bf0d7b2a10fcfad2ea92aa6ab
GSP-Charter,CH-042,unchanged,"The founding or amending authority shall identify the exact coordinated governance editions, resolve conflicting provisions, and record the resulting allocation of authority before dependent decisions proceed. A later draft of a referenced document shall not replace the operative edition automatically.","The founding or amending authority shall identify the exact coordinated governance editions, resolve conflicting provisions, and record the resulting allocation of authority before dependent decisions proceed. A later draft of a referenced document shall not replace the operative edition automatically.",45846922b4911fe085ade837e7d996a7b218663fb75d6d1292d11f463af9b405,45846922b4911fe085ade837e7d996a7b218663fb75d6d1292d11f463af9b405
GSP-Charter,CH-043,unchanged,"The programme decision authority shall maintain a current statement of objectives that links active work to the mission, identifies the practical capacities being developed, and distinguishes intended benefits from effects supported by evaluation. Each annual review shall examine whether the active portfolio still addresses those objectives.","The programme decision authority shall maintain a current statement of objectives that links active work to the mission, identifies the practical capacities being developed, and distinguishes intended benefits from effects supported by evaluation. Each annual review shall examine whether the active portfolio still addresses those objectives.",ad6e2f385b16570b9e3d91e42217d8d55761441a5f5d58c6f85fc6eaab7ad8bd,ad6e2f385b16570b9e3d91e42217d8d55761441a5f5d58c6f85fc6eaab7ad8bd
GSP-Charter,CH-044,unchanged,"When prioritizing work, the programme decision authority shall record the relative need, affected interests, alternatives to new standardization, resource demands, dependencies, and consequences of delay. A priority based on available funding shall identify the resulting coverage gaps and influence conditions.","When prioritizing work, the programme decision authority shall record the relative need, affected interests, alternatives to new standardization, resource demands, dependencies, and consequences of delay. A priority based on available funding shall identify the resulting coverage gaps and influence conditions.",0d668daf72a91667d359862e5a4dbace9be4b71172572b070c86d95e66baa039,0d668daf72a91667d359862e5a4dbace9be4b71172572b070c86d95e66baa039
GSP-Charter,CH-045,unchanged,"Where evidence shows that a programme activity materially undermines participation, inspectability, contestation, or future access, the responsible authority shall examine revision, narrowing, suspension, or closure and record the chosen response and follow-up evidence. Publication volume shall not alone justify continuation.","Where evidence shows that a programme activity materially undermines participation, inspectability, contestation, or future access, the responsible authority shall examine revision, narrowing, suspension, or closure and record the chosen response and follow-up evidence. Publication volume shall not alone justify continuation.",4a56ec8b0ba063b49b54be2da2828020a2d5817f07a47e2034a9ccfe4eb53a5b,4a56ec8b0ba063b49b54be2da2828020a2d5817f07a47e2034a9ccfe4eb53a5b
GSP-Charter,CH-046,unchanged,"The programme decision authority shall reserve approval of governance amendments, creation or material alteration of committee mandates, formal work-item initiation, Standard adoption, substantive publication maintenance, and agreements creating programme commitments. A delegation of an operational step shall not transfer a reserved decision unless the operative founding or governance instrument expressly permits it.","The programme decision authority shall reserve approval of governance amendments, creation or material alteration of committee mandates, formal work-item initiation, Standard adoption, substantive publication maintenance, and agreements creating programme commitments. A delegation of an operational step shall not transfer a reserved decision unless the operative founding or governance instrument expressly permits it.",485e7216972f4261471c033656ed9656b82e28d403e05a771a7cbdd004ee8367,485e7216972f4261471c033656ed9656b82e28d403e05a771a7cbdd004ee8367
GSP-Charter,CH-047,unchanged,"An editor or repository administrator shall exercise only recorded editorial or custodial powers. Technical ability to merge, publish, assign identifiers, change access, or remove material shall not substitute for authorization of a substantive decision.","An editor or repository administrator shall exercise only recorded editorial or custodial powers. Technical ability to merge, publish, assign identifiers, change access, or remove material shall not substitute for authorization of a substantive decision.",c044479d7a287406e7f3c006d441b705a8f899cef413a1e780de0d6a7c656304,c044479d7a287406e7f3c006d441b705a8f899cef413a1e780de0d6a7c656304
GSP-Charter,CH-048,unchanged,"Before an authorized release, the release owner shall verify the applicable adoption or publication decision and the exact artifact set. If the intended public statement exceeds the recorded decision, the statement shall be corrected or referred for a new decision before release.","Before an authorized release, the release owner shall verify the applicable adoption or publication decision and the exact artifact set. If the intended public statement exceeds the recorded decision, the statement shall be corrected or referred for a new decision before release.",a907044d9ec9d0b6546514cde2d129dd25aaa30e608687ad2d7672a4e269fd5b,a907044d9ec9d0b6546514cde2d129dd25aaa30e608687ad2d7672a4e269fd5b
GSP-Charter,CH-049,unchanged,"The coordinator shall publish the purpose and actual availability of each contribution route, the information needed to handle a submission, access and attribution choices, and the process for obtaining assistance. Failed contact, inaccessible material, or unmet accommodation shall be recorded and referred to the responsible review chair.","The coordinator shall publish the purpose and actual availability of each contribution route, the information needed to handle a submission, access and attribution choices, and the process for obtaining assistance. Failed contact, inaccessible material, or unmet accommodation shall be recorded and referred to the responsible review chair.",02a4e84646f13775779754d8d2c5ed11cd84b98d0ae884e1107d002bb3e0fe73,02a4e84646f13775779754d8d2c5ed11cd84b98d0ae884e1107d002bb3e0fe73
GSP-Charter,CH-050,unchanged,"Before closing a review, the review chair shall examine recorded access failures and participation gaps, determine their materiality to the decision, and document extension, targeted outreach, alternative access, narrowed claims, or deferral as appropriate. The absence of a complaint shall not alone establish adequate access.","Before closing a review, the review chair shall examine recorded access failures and participation gaps, determine their materiality to the decision, and document extension, targeted outreach, alternative access, narrowed claims, or deferral as appropriate. The absence of a complaint shall not alone establish adequate access.",0e2a9882c06fca65003959726a05b9159e1f0a714a2c66bf6f5ebcbfda6cf487,0e2a9882c06fca65003959726a05b9159e1f0a714a2c66bf6f5ebcbfda6cf487
